Functional_Type,Morphotype,Order,Family,Genus,Species,H8,H39,H40,H42,OTI1,OTI8,OTI20,OTI25,OTI33,OTI34,OTI36,OTI38,OTI39,OTI43,OTI47,OTI51,OTI52,OTI53,OTI54,W1,W2,W7,W12,W15,W20,W21
Opportunistic,Flattened.tapered,Hormosinina,Reophacidae,Reophax,Reophax nana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Opportunistic,Rounded.planispiral,Lituolida,Trochamminidae,Rotaliammina,Rotaliammina chitinosa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Biconvex.trochospiral,Rotaliida,Discorbidae,Rotorbis,Rotorbis cf. R. auberii,4,0,0,0,8,7,1,0,11,12,0,0,0,4,10,5,0,4,0,0,6,0,7,4,3,0
Heterotrophic,Biconvex.trochospiral,Textulariida,Eggerellidae,Rudigaudryina,Rudigaudryina minor,0,0,0,3,0,0,1,2,0,2,0,0,3,0,1,5,9,6,0,0,0,0,0,0,0,0
Opportunistic,Flattened.tapered,Rotaliida,Bolivinitidae,Sagrinella,Sagrinella jugosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Opportunistic,Tapered.cylindrical,Textulariida,Textulariidae,Sahulia,Sahulia barkeri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Biconvex.trochospiral,Robertinida,Ceratobuliminidae,Saintclairoides,Saintclairoides marlysae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Siphonaperta,Siphonaperta distorqueata,36,40,23,36,36,49,31,40,34,31,21,35,18,48,28,27,21,22,15,26,32,46,21,24,23,50
Heterotrophic,Tapered.cylindrical,Rotaliida,Siphogenerinoididae,Siphogenerina,Siphogenerina raphana,0,0,0,0,1,0,1,6,2,0,6,2,1,0,3,4,2,0,0,0,0,1,0,0,0,0
Heterotrophic,Tapered.cylindrical,Textulariida,Pseudogaudryinidae,Siphoniferoides,Siphoniferoides siphonifera,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Symbiont,Milioline,Miliolida,Soritidae,Sorites,Sorites orbiculus,0,0,4,9,4,11,5,2,0,7,7,7,18,0,3,3,3,4,1,1,3,4,12,14,11,0
Heterotrophic,Rounded.planispiral,Rotaliida,Acervulinidae,Sphaerogypsina,Sphaerogypsina globulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Heterotrophic,Rounded.planispiral,Spirillinida,Spirillinidae,Spirillina,Spirillina sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Spiroloculinidae,Spiroloculina,Spiroloculina angulata,9,7,6,17,5,2,12,6,2,2,28,9,14,4,7,3,15,16,15,11,17,0,0,5,3,0
Heterotrophic,Milioline,Miliolida,Spiroloculinidae,Spiroloculina,Spiroloculina corrugata,5,2,1,2,3,2,4,0,4,0,6,9,3,4,4,6,9,11,6,5,10,0,3,0,0,0
Heterotrophic,Milioline,Miliolida,Spiroloculinidae,Spiroloculina,Spiroloculina cf. S. depressa,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,5,6,0,4,1,0,0,2,0,0
Heterotrophic,Milioline,Miliolida,Spiroloculinidae,Spiroloculina,Spiroloculina foveolata,0,1,0,2,2,1,1,0,0,0,3,3,0,0,0,1,2,0,3,0,0,1,0,0,0,0
Heterotrophic,Milioline,Miliolida,Spiroloculinidae,Spiroloculina,Spiroloculina sp. 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0
Opportunistic,Tapered.cylindrical,Textulariida,Textulariidae,Textularia,Textularia agglutinans,0,0,0,0,0,0,1,0,0,0,0,9,5,4,1,5,3,4,4,0,0,0,2,0,0,0
Opportunistic,Tapered.cylindrical,Textulariida,Textulariidae,Textularia,Textularia lateralis,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,5,0,0,0,0,0,0,0,0
Opportunistic,Tapered.cylindrical,Textulariida,Textulariidae,Textularia,Textularia jparkeri n. sp.,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Opportunistic,Tapered.cylindrical,Rotaliida,Uvigerinidae,Trifarina,Trifarina pacifica,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Triloculina,Triloculina barnardi,0,5,70,0,9,2,28,11,7,0,0,27,8,0,19,16,15,11,7,30,25,15,10,9,6,6
Heterotrophic,Milioline,Miliolida,Hauerinidae,Triloculina,Triloculina earlandi,0,0,0,0,0,0,1,4,0,2,0,2,0,4,4,2,0,0,0,0,0,0,2,0,0,0
Heterotrophic,Milioline,Miliolida,Hauerinidae,Triloculina,Triloculina striatotrigonula,0,0,0,6,1,0,1,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0
Opportunistic,Tapered.cylindrical,Lituolida,Trochamminidae,Trochammina,Trochammina cf. T. subconica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opportunistic,Tapered.cylindrical,Rotaliida,Uvigerinidae,Uvigerina,Uvigerina cf. U. porrecta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
