Functional_Type,Morphotype,Order,Family,Genus,Species,L060.F250,L060.F125,L060.F063,L002.F250,L002.F125,L002.F063,L110.F250,L110.F125,L110.F063,L012.F250,L012.F125,L140.F250,L140.F125,L032.F250,L032.F125,L037.F250,L037.F125,L007.F250,L007.F125,L150.F250,L150.F125
Heterotrophic,Plano.convex,Rotaliida,Cymbaloporidae,Cymbaloporetta ,Cymbaloporetta bradyi,1,5,,1,6,,1,1,,1,,2,,,8,,,,5,1,7
Heterotrophic,Plano.convex,Rotaliida,Cymbaloporidae,Cymbaloporetta ,Cymbaloporetta squammosa,,,,,,,,,,,,,1,,0,,,,5,,
Heterotrophic,Plano.convex,Rotaliida,Cymbaloporidae,Cymbaloporetta ,Cymbaloporetta sp. 1,,5,,,,,,,,,1,,7,5,5,1,4,,,,
Heterotrophic,Milioline,Miliolida ,Ophthalmidiidae ,Edentostomina,Edentostomina,,,,,,,,1,,,,,,,,,,,,,1
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium ,Elphidium spp,,13,0,,11,4,,7,5,,21,,15,,27,,38,2,14,,13
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium ,Elphidium advenum,,4,,5,4,,1,6,,1,17,3,15,1,7,1,4,2,18,2,19
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium ,Elphidium craticulatum,1,2,,,2,,,,,,,,,,,1,2,2,,,
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium ,Elphidium fichtelianum,,1,,,2,,,2,,,1,,,,,,,,,,2
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium ,Elphidium macellum,,4,,1,,,,,,,1,,,1,4,,1,1,4,,3
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium ,Elphidium maorium,,,,,4,,,,,,3,1,2,,6,5,3,,1,,2
Heterotrophic,Rounded.planispiral,Rotaliida,Notorotaliidae,Cristatavultus,Elphidium milletti,,,,,,,,,,,,,,,,,,,,,
Heterotrophic,Rounded.planispiral,Rotaliida,Elphidiidae,Elphidium ,Elphidium oceanicum,,,2,,,,,2,,,,,,,1,,,,,,
Heterotrophic,Biconvex.trochospiral,Rotaliida,Anomalinidae,Epistomaroides,Epistomaroides polystomelloides,,1,,,,,,,,,,,,,0,,,,1,1,
Heterotrophic,Biconvex.trochospiral,Rotaliida,Anomalinidae,Epistomaroides,Epistomaroides sp.,,,,,,,,,,1,,,,,3,,,,1,,
Heterotrophic,Plano.convex,Rotaliida,Eponididae,Eponides,Eponides cf. E. repandus,,,,,,,,,,,,,,,,,,,,,
Heterotrophic,Tapered.cylindrical,Rotaliida,Reussellidae,Fijiella,Fijiella simplex,,4,,,,1,,,1,,1,,1,1,5,,3,,6,,
NA,NA,NA,NA,NA,Juvenile Hyaline,,7,5,,2,4,,1,21,1,8,,1,1,15,,8,,9,,2
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Hauerina ,Hauerina earlandi,,1,,,4,2,,3,,1,4,,1,,2,,8,,7,,1
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Hauerina ,Hauerina pacifica,,1,,,,2,,,,,,,,,2,,,,,,3
Opportunistic,Rounded.planispiral,Rotaliida,Haynesinidae,Haynesina,Haynesina depressula,1,3,1,,2,,,4,,,,,3,,7,,5,,8,,1
Heterotrophic,Flattened.tapered,Polymorphinida,Polymorphinidae,Krebsina,Krebsina sp.,,,,,,,,,,,,,,,1,,,,,,
Heterotrophic,Plano.convex,Rotaliida,Cibicididae,Cibicides,Cibicides mayori,,1,1,,,,,,,,,,,,,,,,,,
Opportunistic,Tapered.cylindrical,Rotaliida,Bolivinitidae,Loxostomina,Loxostomina sp.,,,,,,2,,0,4,2,4,,,,9,,3,,1,,
Heterotrophic,Milioline,Miliolida ,Hauerinidae,Miliolinella,Miliolinella spp,,1,2,,3,,,,,,,,,,3,,9,,2,,2
Heterotrophic,Plano.convex,Rotaliida,Cymbaloporidae,Millettiana ,Millettiana milletti,,2,1,3,,,1,1,,1,4,1,,,5,,3,1,3,,3
Heterotrophic,Plano.convex,Rotaliida,Rosalinidae,Neoconorbina,Neoconorbina spp,,2,7,1,1,,,0,4,,4,,1,1,4,,,,6,,3
Symbiont,Biconvex.trochospiral,Rotaliida,Calcarinidae,Neorotalia,Neorotalia calcar,,1,,2,,,,,,,,,,,,,,,,1,1
Heterotrophic,Plano.convex,Rotaliida,Discorbidae,Orbitina,Orbitina parri,,,1,,,1,,0,2,,,,,,1,,1,,1,,
Heterotrophic,Milioline,Miliolida ,Riveroinidae,Pseudohauerina,Pseudohauerina fragilissima,,,,,,,,,,,,,,,,,,1,,,
Heterotrophic,Plano.convex,Spirillinida,Patellinidae ,Patellina,Patellina formosa,,1,,,,,,,,1,1,,,,1,,,,,,
Symbiont,Milioline,Miliolida ,Peneroplidae ,Peneroplis,Peneroplis pertusus,,2,,,,,,2,1,,,,2,,,,,,2,,2
Heterotrophic,Plano.convex,Rotaliida,Glabratellidae,Pileolina,Pileolina? patelliformis,,6,,,5,2,,,,,,,2,1,6,,5,,8,1,
Heterotrophic,Plano.convex,Rotaliida,Glabratellidae,Pileolina,Pileolina? minogasaformis,2,1,1,,,2,,,,,3,,,1,2,,,,5,,2
Heterotrophic,Rounded.planispiral,Spirillinida,Planispirillinidae ,Planispirillina,Planispirillina inaequalis,,,,,1,,,,,,,,,,,,,,,,
Heterotrophic,Rounded.planispiral,Spirillinida,Planispirillinidae ,Planispirillina,Planispirillina sp.,,,,,,,,,,,1,,,,2,,,,,,
